LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,8888,0,1,0,0,0,Alpine,27/09/2020,28/09/2020
Ararat (RC),VIC220,8887,0,7,0,0,0,Ararat,27/09/2020,28/09/2020
Ballarat (C),VIC241,8886,0,57,0,0,0,Ballarat,27/09/2020,28/09/2020
Banyule (C),VIC188,131631,2,435,1.5,0,1,Banyule,27/09/2020,28/09/2020
Bass Coast (S),VIC173,36320,0,11,0,0,0,Bass Coast,27/09/2020,28/09/2020
Baw Baw (S),VIC194,53396,0,15,0,0,0,Baw Baw,27/09/2020,28/09/2020
Bayside (C),VIC182,106862,1,246,0.9,0,1,Bayside,27/09/2020,28/09/2020
Benalla (RC),VIC199,14037,0,3,0,0,0,Benalla,27/09/2020,28/09/2020
Boroondara (C),VIC201,183199,3,266,1.6,0,1,Boroondara,27/09/2020,28/09/2020
Brimbank (C),VIC189,209523,56,2034,26.7,1,2,Brimbank,27/09/2020,28/09/2020
Buloke (S),VIC183,6124,0,0,0,0,0,Buloke,27/09/2020,28/09/2020
Campaspe (S),VIC239,37622,0,9,0,0,0,Campaspe,27/09/2020,28/09/2020
Cardinia (S),VIC212,112159,0,204,0,0,0,Cardinia,27/09/2020,28/09/2020
Casey (C),VIC213,353872,12,1037,3.4,1,1,Casey,27/09/2020,28/09/2020
Central Goldfields (S),VIC169,13186,0,2,0,0,0,Central Goldfields,27/09/2020,28/09/2020
Colac-Otway (S),VIC224,21564,1,136,4.6,0,1,Colac-Otway,27/09/2020,28/09/2020
Corangamite (S),VIC231,16020,0,3,0,0,0,Corangamite,27/09/2020,28/09/2020
Darebin (C),VIC205,164184,8,643,4.9,0,1,Darebin,27/09/2020,28/09/2020
East Gippsland (S),VIC243,47316,1,7,2.1,0,1,East Gippsland,27/09/2020,28/09/2020
Frankston (C),VIC227,142643,9,246,6.3,0,1,Frankston,27/09/2020,28/09/2020
Gannawarra (S),VIC214,10472,0,2,0,0,0,Gannawarra,27/09/2020,28/09/2020
Glen Eira (C),VIC177,156511,1,224,0.6,1,1,Glen Eira,27/09/2020,28/09/2020
Glenelg (S),VIC223,19674,0,20,0,0,0,Glenelg,27/09/2020,28/09/2020
Golden Plains (S),VIC230,23722,0,18,0,0,0,Golden Plains,27/09/2020,28/09/2020
Greater Bendigo (C),VIC193,118093,0,101,0,0,0,Greater Bendigo,27/09/2020,28/09/2020
Greater Dandenong (C),VIC247,168201,12,530,7.1,0,1,Greater Dandenong,27/09/2020,28/09/2020
Greater Geelong (C),VIC215,258934,1,366,0.4,0,1,Greater Geelong,27/09/2020,28/09/2020
Greater Shepparton (C),VIC93,66498,0,49,0,0,0,Greater Shepparton,27/09/2020,28/09/2020
Hepburn (S),VIC94,15975,0,2,0,0,0,Hepburn,27/09/2020,28/09/2020
Hindmarsh (S),VIC152,5588,0,0,0,0,0,Hindmarsh,27/09/2020,28/09/2020
Hobsons Bay (C),VIC235,97751,27,492,27.6,0,2,Hobsons Bay,27/09/2020,28/09/2020
Horsham (RC),VIC153,19921,1,14,5,0,1,Horsham,27/09/2020,28/09/2020
Hume (C),VIC198,233471,19,1645,8.1,0,1,Hume,27/09/2020,28/09/2020
Indigo (S),VIC191,16701,0,1,0,0,0,Indigo,27/09/2020,28/09/2020
Kingston (C),VIC226,165782,2,299,1.2,0,1,Kingston,27/09/2020,28/09/2020
Knox (C),VIC209,164538,2,163,1.2,0,1,Knox,27/09/2020,28/09/2020
Latrobe (C),VIC219,75561,1,57,1.3,0,1,Latrobe,27/09/2020,28/09/2020
Loddon (S),VIC185,7504,0,4,0,0,0,Loddon,27/09/2020,28/09/2020
Macedon Ranges (S),VIC228,50231,2,58,4,0,1,Macedon Ranges,27/09/2020,28/09/2020
Manningham (C),VIC195,127573,4,164,3.1,0,1,Manningham,27/09/2020,28/09/2020
Mansfield (S),VIC244,9176,0,10,0,0,0,Mansfield,27/09/2020,28/09/2020
Maribyrnong (C),VIC234,93448,12,592,12.8,0,1,Maribyrnong,27/09/2020,28/09/2020
Maroondah (C),VIC207,118558,0,104,0,0,0,Maroondah,27/09/2020,28/09/2020
Melbourne (C),VIC132,178955,16,882,8.9,0,1,Melbourne,27/09/2020,28/09/2020
Melton (C),VIC237,164895,24,1132,14.6,0,1,Melton,27/09/2020,28/09/2020
Mildura (RC),VIC222,55777,0,6,0,0,0,Mildura,27/09/2020,28/09/2020
Mitchell (S),VIC211,46082,1,85,2.2,0,1,Mitchell,27/09/2020,28/09/2020
Moira (S),VIC190,29925,0,12,0,0,0,Moira,27/09/2020,28/09/2020
Monash (C),VIC210,202847,2,319,1,0,1,Monash,27/09/2020,28/09/2020
Moonee Valley (C),VIC121,130294,34,808,26.1,1,2,Moonee Valley,27/09/2020,28/09/2020
Moorabool (S),VIC236,35049,1,39,2.9,0,1,Moorabool,27/09/2020,28/09/2020
Moreland (C),VIC131,185767,23,1046,12.4,0,1,Moreland,27/09/2020,28/09/2020
Mornington Peninsula (S),VIC204,167636,1,180,0.6,0,1,Mornington Peninsula,27/09/2020,28/09/2020
Mount Alexander (S),VIC105,19754,0,9,0,0,0,Mount Alexander,27/09/2020,28/09/2020
Moyne (S),VIC229,16953,0,1,0,0,0,Moyne,27/09/2020,28/09/2020
Murrindindi (S),VIC250,14570,0,9,0,0,0,Murrindindi,27/09/2020,28/09/2020
Nillumbik (S),VIC216,65094,2,137,3.1,0,1,Nillumbik,27/09/2020,28/09/2020
Northern Grampians (S),VIC166,11402,0,3,0,0,0,Northern Grampians,27/09/2020,28/09/2020
Other,,,0,200,0,0,0,,27/09/2020,28/09/2020
Port Phillip (C),VIC208,115601,5,289,4.3,0,1,Port Phillip,27/09/2020,28/09/2020
Pyrenees (S),VIC217,7472,0,3,0,0,0,Pyrenees,27/09/2020,28/09/2020
Queenscliffe (B),VIC238,2940,0,2,0,0,0,Queenscliffe,27/09/2020,28/09/2020
South Gippsland (S),VIC178,29914,0,11,0,0,0,South Gippsland,27/09/2020,28/09/2020
Southern Grampians (S),VIC233,16100,0,2,0,0,0,Southern Grampians,27/09/2020,28/09/2020
Stonnington (C),VIC203,117768,1,258,0.8,0,1,Stonnington,27/09/2020,28/09/2020
Strathbogie (S),VIC110,10781,0,2,0,0,0,Strathbogie,27/09/2020,28/09/2020
Surf Coast (S),VIC225,33456,0,16,0,0,0,Surf Coast,27/09/2020,28/09/2020
Swan Hill (RC),VIC180,20649,0,5,0,0,0,Swan Hill,27/09/2020,28/09/2020
Towong (S),VIC187,6040,0,0,0,0,0,Towong,27/09/2020,28/09/2020
Wangaratta (RC),VIC186,29187,0,2,0,0,0,Wangaratta,27/09/2020,28/09/2020
Warrnambool (C),VIC179,35181,0,13,0,0,0,Warrnambool,27/09/2020,28/09/2020
Wellington (S),VIC218,44380,0,15,0,0,0,Wellington,27/09/2020,28/09/2020
West Wimmera (S),VIC232,3841,0,1,0,0,0,West Wimmera,27/09/2020,28/09/2020
Whitehorse (C),VIC196,178739,2,207,1.1,0,1,Whitehorse,27/09/2020,28/09/2020
Whittlesea (C),VIC197,230238,10,1201,4.3,0,1,Whittlesea,27/09/2020,28/09/2020
Wodonga (RC),VIC192,42083,0,2,0,0,0,Wodonga,27/09/2020,28/09/2020
Wyndham (C),VIC221,270487,54,2263,20,1,2,Wyndham,27/09/2020,28/09/2020
Yarra (C),VIC202,101495,4,459,3.9,0,1,Yarra,27/09/2020,28/09/2020
Yarra Ranges (S),VIC206,159462,2,252,1.3,0,1,Yarra Ranges,27/09/2020,28/09/2020
Yarriambiack (S),VIC200,6639,0,1,0,0,0,Yarriambiack,27/09/2020,28/09/2020
